UTTRANS_ID	SPEAKER_ID-1	SPEAKER_ID-2	TOPIC	VALID(min)	TOTAL(min)	Environment
001&002-81&78-MF-BEIJING&SHANDONG-HUAWEI MGA-AL00.wav	002	001	出行游玩、休闲娱乐	1170.874	1266.732	室内
003&004-77&76-FF-HANGZHOU&HANGZHOU-HONOR AL10.wav	003	004	出行游玩、家庭子女	1664.603	1737.151	室内
005&006-76&77-FM-BEIJING&BEIJING-Iphone 13pro.wav	005	006	出行游玩、购物方式	1525.06	1640.698	室内
009&010-77&79-MF-BEIJING&BEIJING-HUAWEI MATE40.wav	009	010	健康饮食、回忆往事	1628.91	1712.113	室内
013&014-77&77-FM-BEIJING&BEIJING-HUAWEI MATE 40PRO.wav	013	014	退休养老、健康养生	1533.998	1600.307	室内
015&016-76&76-FF-CHANGSHA&CHANGSHA-HUAWEI RONGYAO50.wav	015	016	出行游玩	1379.266	1405.812	室内
017&018-79&77-MF-HEILONGJIANG&HEILONGJIANG-SANXING A51.wav	017	018	退休养老、休闲娱乐、出行游玩	1422.151	1496.355	室内
019&020-76&76-FM-BEIJING&BEIJING-vivo X80.wav	019	020	退休养老、保养身体	1135.91	1467.916	室内
023&024-76&77-MF-BEIJING&BEIJING-IPHONE 7P.wav	023	024	回忆往事、特色美食	1566.511	1597.67	室内
025&026-76&76-FF-BEIJING&BEIJING-oppo.wav	025	026	出行游玩、家庭子女、健康养生	1782.927	1821.331	室内
027&028-75&75-MF-BEIJING&BEIJING-HUAWEICHANGXIANG 5PLUS.wav	027	028	出行游玩	1537.571	1649.336	室内
029&030-80&75-FF-BEIJING&BEIJING-rongyao pro5.wav	029	030	健康养生、休闲娱乐	1404.014	1534.119	室内
031&032-76&78-FM-BEIJING&HEBEI-rongyao V20.wav	031	032	出行游玩、退休养老	1473.75	1530	室内
033&034-76&76-FF-HENAN&HUBEI-huawei p30.wav	033	034	出行游玩、健康养生	1581.329	1632.021	室内
035&036-75&75-FF-BEIJING&BEIJING-RONGYAO X40.wav	035	036	特色美食、健康饮食	813.252	1049.626	室内
037&038-75&75-FF-BEIJING&BEIJING-xiaomi note 11.wav	37	38	出行游玩、养老计划	1405.348	1519.759	室内
039&040-76&80-FM-HAERBIN&HAERBIN-RONGYAO 50PRO.wav	039	040	出行游玩	1455.679	1547.379	室内
041&042-78&75-FM-CHANGCHUN&CHANGCHUN-OPPO R11 PLUS.wav	041	042	回忆往事	1387.064	1585.724	室内
043&044-75&77-FM-BEIJING&BEIJING-rongyao50.wav	043	044	休闲娱乐、出行游玩	1459.069	1548.832	室内
